id;name;address;city;postal_code;country;distance_in_m;owner;roaming;latitude;longitude;operator_name;operator_hotline;open_24_7
743527;LIS-K Karlstraße 5;Karlsstraße 5;Köln;50679;DE;0;;False;50.937826;6.972033;RheinEnergie AG;+498004393030;True
772672;LIS-K Döbrabergstraße 2;Döbrabergstraße  2;Köln;50765;DE;0;;False;51.037681;6.884185;RheinEnergie AG;+498004393030;True
13343;Grobe - Oesterstraße 119;Oesterstraße  119;Dortmund;44309;DE;0;;False;51.533636;7.550913;DEW21 GmbH;+4923170097799;False
13492;DEW21 - Schnellladesäule - Westfalendamm 166;Westfalendamm  166;Dortmund;44141;DE;0;;False;51.504149;7.498185;DEW21 GmbH;+4923170097799;True
13516;Atlas Schuhfabrik;Frische Luft  159;Dortmund;44319;DE;0;;False;51.534076;7.630646;DEW21 GmbH;+4923170097799;False
15338;DEW21 - Rathaus Herdecke - Kirchplatz 3;Kirchplatz 3;Herdecke;58313;DE;0;;False;51.400403;7.432292;DEW21 GmbH;+4923170097799;True
16642;DSW - VWG-Deggingstrasse;Deggingstraße  40;Dortmund;44141;DE;0;;False;51.505601;7.487775;DEW21 GmbH;+492315441564;True
16758;DOPARK - TG-Hansaplatz;Tiefgarage Hansastraße  2;Dortmund;44137;DE;0;;False;51.512339;7.463759;DEW21 GmbH;+4923170097799;True
182742;EWS - Juchostrasse;Juchostraße  30;Dortmund;44143;DE;0;;False;51.522775;7.510967;EWS;+4923170097799;True
505700;DOPARK_TG Westentor;Schmiedingstraße  10;Dortmund;44135;DE;0;;False;51.515112;7.456544;DEW21 GmbH;+4923170097799;True
542896;Lichtmast_40835;Schmiedingstr. 23;Dortmund;44137;DE;0;;False;51.515552;7.457235;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542897;Lichtmast_40836;Schmiedingstr. 19/gü;Dortmund;44147;DE;0;;False;51.515679;7.457678;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542898;Lichtmast_75628;Deutsch-Luxemb.-Str 119;Dortmund;44225;DE;0;;False;51.469654;7.435748;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542899;Lichtmast_40838;Schmiedingstr. 6;Dortmund;44147;DE;0;;False;51.515303;7.457177;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542903;Lichtmast_19235;Hombrucher Str 62;Dortmund;44225;DE;0;;False;51.475938;7.436548;Dortmunder Energie- und Wasserversorgung;+4923170097799;False
542904;Lichtmast_19246;Hombrucher Str 54;Dortmund;44225;DE;0;;False;51.476647;7.436475;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542905;Lichtmast_43804;Junggesellenstr 14;Dortmund;44135;DE;0;;False;51.512237;7.471135;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542906;Lichtmast_35862;Jagdhausstr 1;Dortmund;44225;DE;0;;False;51.475437;7.44219;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542907;Lichtmast_35728;Kuntzestr 76;Dortmund;44225;DE;0;;False;51.473892;7.439345;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542908;Lichtmast_43796;Junggesellenstr 20;Dortmund;44135;DE;0;;False;51.511789;7.471637;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542909;Lichtmast_35759;Kuntzestr 5/gü/w;Dortmund;44225;DE;0;;False;51.473958;7.445648;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542910;Lichtmast_26374;Ii. Bickestr 19;Dortmund;44263;DE;0;;False;51.485475;7.513669;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542911;Lichtmast_26375;Ii. Bickestr 11;Dortmund;44263;DE;0;;False;51.485856;7.513693;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542912;Lichtmast_46622_;DESSAUERSTR 18;Dortmund;44263;DE;0;;False;51.49337;7.493692;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542913;Lichtmast_17745;Lange Fuhr 61;Dortmund;44149;DE;0;;False;51.503734;7.410992;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542914;Lichtmast_16197;Lange Fuhr 24/gü;Dortmund;44149;DE;0;;False;51.501653;7.410066;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542915;Lichtmast_46618_;AUF DER KLUSE 14/gü;Dortmund;44263;DE;0;;False;51.492899;7.494914;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
