id;status;timestamp
447;RESERVED;2022-01-11 21:58:22+01:00
448;RESERVED;2022-01-11 21:58:22+01:00
494;CHARGING;2022-01-11 21:58:22+01:00
495;CHARGING;2022-01-11 21:58:22+01:00
425;AVAILABLE;2022-01-11 21:58:22+01:00
426;AVAILABLE;2022-01-11 21:58:22+01:00
337;AVAILABLE;2022-01-11 21:58:22+01:00
338;AVAILABLE;2022-01-11 21:58:22+01:00
581823;OUTOFORDER;2022-01-11 21:58:22+01:00
581824;AVAILABLE;2022-01-11 21:58:22+01:00
240;AVAILABLE;2022-01-11 21:58:22+01:00
241;AVAILABLE;2022-01-11 21:58:22+01:00
243;CHARGING;2022-01-11 21:58:22+01:00
242;CHARGING;2022-01-11 21:58:22+01:00
325;AVAILABLE;2022-01-11 21:58:22+01:00
327;CHARGING;2022-01-11 21:58:22+01:00
6083790;AVAILABLE;2022-01-11 21:58:22+01:00
6083792;AVAILABLE;2022-01-11 21:58:22+01:00
6083794;CHARGING;2022-01-11 21:58:22+01:00
6083796;AVAILABLE;2022-01-11 21:58:22+01:00
6083798;CHARGING;2022-01-11 21:58:22+01:00
6083800;AVAILABLE;2022-01-11 21:58:22+01:00
6083802;AVAILABLE;2022-01-11 21:58:22+01:00
6083804;CHARGING;2022-01-11 21:58:22+01:00
6083806;CHARGING;2022-01-11 21:58:22+01:00
6083808;AVAILABLE;2022-01-11 21:58:22+01:00
304;AVAILABLE;2022-01-11 21:58:22+01:00
306;AVAILABLE;2022-01-11 21:58:22+01:00
441;CHARGING;2022-01-11 21:58:22+01:00
442;AVAILABLE;2022-01-11 21:58:22+01:00
321;AVAILABLE;2022-01-11 21:58:22+01:00
322;AVAILABLE;2022-01-11 21:58:22+01:00
280;AVAILABLE;2022-01-11 21:58:22+01:00
282;AVAILABLE;2022-01-11 21:58:22+01:00
91;AVAILABLE;2022-01-11 21:58:22+01:00
93;AVAILABLE;2022-01-11 21:58:22+01:00
224;AVAILABLE;2022-01-11 21:58:22+01:00
226;AVAILABLE;2022-01-11 21:58:22+01:00
310;AVAILABLE;2022-01-11 21:58:22+01:00
312;AVAILABLE;2022-01-11 21:58:22+01:00
41;AVAILABLE;2022-01-11 21:58:22+01:00
46;CHARGING;2022-01-11 21:58:22+01:00
42;CHARGING;2022-01-11 21:58:22+01:00
45;CHARGING;2022-01-11 21:58:22+01:00
48;AVAILABLE;2022-01-11 21:58:22+01:00
50;AVAILABLE;2022-01-11 21:58:22+01:00
27;CHARGING;2022-01-11 21:58:22+01:00
29;CHARGING;2022-01-11 21:58:22+01:00
166;CHARGING;2022-01-11 21:58:22+01:00
168;AVAILABLE;2022-01-11 21:58:22+01:00
95;AVAILABLE;2022-01-11 21:58:22+01:00
96;AVAILABLE;2022-01-11 21:58:22+01:00
97;AVAILABLE;2022-01-11 21:58:22+01:00
98;AVAILABLE;2022-01-11 21:58:22+01:00
681;AVAILABLE;2022-01-11 21:58:22+01:00
680;AVAILABLE;2022-01-11 21:58:22+01:00
682;AVAILABLE;2022-01-11 21:58:22+01:00
683;AVAILABLE;2022-01-11 21:58:22+01:00
684;AVAILABLE;2022-01-11 21:58:22+01:00
685;AVAILABLE;2022-01-11 21:58:22+01:00
1030;AVAILABLE;2022-01-11 21:58:22+01:00
1144;AVAILABLE;2022-01-11 21:58:22+01:00
423;AVAILABLE;2022-01-11 21:58:22+01:00
424;AVAILABLE;2022-01-11 21:58:22+01:00
27730406;AVAILABLE;2022-01-11 21:58:22+01:00
116;CHARGING;2022-01-11 21:58:22+01:00
27730422;AVAILABLE;2022-01-11 21:58:22+01:00
27730418;AVAILABLE;2022-01-11 21:58:22+01:00
79;AVAILABLE;2022-01-11 21:58:22+01:00
80;AVAILABLE;2022-01-11 21:58:22+01:00
81;AVAILABLE;2022-01-11 21:58:22+01:00
82;AVAILABLE;2022-01-11 21:58:22+01:00
320;CHARGING;2022-01-11 21:58:22+01:00
466;AVAILABLE;2022-01-11 21:58:22+01:00
467;AVAILABLE;2022-01-11 21:58:22+01:00
144;AVAILABLE;2022-01-11 21:58:22+01:00
142;AVAILABLE;2022-01-11 21:58:22+01:00
8;AVAILABLE;2022-01-11 21:58:22+01:00
6;AVAILABLE;2022-01-11 21:58:22+01:00
1;CHARGING;2022-01-11 21:58:22+01:00
64;AVAILABLE;2022-01-11 21:58:22+01:00
266;CHARGING;2022-01-11 21:58:22+01:00
265;CHARGING;2022-01-11 21:58:22+01:00
192;RESERVED;2022-01-11 21:58:22+01:00
193;RESERVED;2022-01-11 21:58:22+01:00
439;CHARGING;2022-01-11 21:58:22+01:00
440;CHARGING;2022-01-11 21:58:22+01:00
480;AVAILABLE;2022-01-11 21:58:22+01:00
481;AVAILABLE;2022-01-11 21:58:22+01:00
482;INOPERATIVE;2022-01-11 21:58:22+01:00
483;AVAILABLE;2022-01-11 21:58:22+01:00
484;UNKNOWN;2022-01-11 21:58:22+01:00
485;UNKNOWN;2022-01-11 21:58:22+01:00
914995;AVAILABLE;2022-01-11 21:58:22+01:00
914996;AVAILABLE;2022-01-11 21:58:22+01:00
914999;AVAILABLE;2022-01-11 21:58:22+01:00
915000;AVAILABLE;2022-01-11 21:58:22+01:00
4288748;AVAILABLE;2022-01-11 21:58:22+01:00
4288750;AVAILABLE;2022-01-11 21:58:22+01:00
4288752;AVAILABLE;2022-01-11 21:58:22+01:00
4288754;AVAILABLE;2022-01-11 21:58:22+01:00
4288756;AVAILABLE;2022-01-11 21:58:22+01:00
4288758;AVAILABLE;2022-01-11 21:58:22+01:00
