id;status;parkingsensor_status;timestamp
DE*REK*E00025*001;RESERVED;-;2022-01-11 21:58:22+01:00
DE*REK*E00025*002;RESERVED;-;2022-01-11 21:58:22+01:00
DE*REK*E00095*001;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E00095*002;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E00103*003;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00104*003;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00066*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00066*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00081*001;OUTOFORDER;-;2022-01-11 21:58:22+01:00
DE*REK*E00081*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00052*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00052*002;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E00088*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00088*002;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E10007*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E10008*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E10009*001;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E10010*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E10011*001;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E10012*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E10013*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E10014*001;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E10015*001;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E10016*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00085*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00085*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00046*001;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E00046*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00080*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00080*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00090*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00090*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00020*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00020*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00089*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00089*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00091*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00091*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00010*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00010*002;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E00011*001;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E00011*002;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E00012*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00012*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00008*001;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E00008*002;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E00047*001;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E00047*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00026*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00026*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00122*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00122*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00123*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00123*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00124*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00124*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00130*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00130*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00083*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00083*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00027*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00027*002;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E00028*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00028*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00004*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00004*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00068*002;CHARGING;-;2022-01-11 21:58:22+01:00
DE*REK*E00071*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00071*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00050*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00050*002;AVAILABLE;-;2022-01-11 21:58:22+01:00
DE*REK*E00055*001;AVAILABLE;-;2022-01-11 21:58:22+01:00
