id_cs;uid;chargePointParkingSpaceNumbers;roaming;chargePointPosition;vehicle_type;chargePointPublicComment;parkingsensor_status;id;physical_reference;floor_level;chargingStationPosition
337;50022;;False;;four_wheeled;;-;DE*REK*E00142*001;;;
337;50024;;False;;four_wheeled;;-;DE*REK*E00143*001;;;
351;779;;False;rechts;four_wheeled;;-;DE*REK*E00149*001;149R;;
351;780;;False;links;four_wheeled;;-;DE*REK*E00149*002;149L;;
360;823;;False;;four_wheeled;;-;DE*REK*E00153*001;153R;;
360;824;;False;;four_wheeled;;-;DE*REK*E00153*002;153L;;
10124;21419;;False;;four_wheeled;;-;DE*REK*E00155*001;;;
10175;21554;;False;;four_wheeled;;-;DE*REK*E00156*001;;;
10177;21555;;False;;four_wheeled;;-;DE*REK*E00157*001;;;
10269;21860;;False;;four_wheeled;;-;DE*REK*E00166*001;;;
10269;21861;;False;;four_wheeled;;-;DE*REK*E00166*002;;;
